angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
1.109893,11.83443,24.26698,0047202+241601,16.36,0.483,3,3.526,0.0989,3,0,0,0,0,11.83443,24.26698,HD4502,00446+2359,F00446+2359,ZET AND,HR 215,HD 4502,K1IIe,12.36,2.847,12.9,2.92,00 47 20.3254,+24 16 01.841,Eclipsing binary of beta Lyr type,0,47,20.3254,24,16,1.841,11.83468917,24.26717806
1.136347,24.49839,48.62794,0137596+483740,30.95,0.155,3,6.623,0.0379,3,0,0,0,0,24.49839,48.62794,HD9927,01349+4822,F01349+4822,51 AND,HR 464,HD 9927,K3-III,23.19,5.216,22.0,5.27,01 37 59.5561,+48 37 41.567,Star,1,37,59.5561,48,37,41.567,24.49815042,48.62821306
0.055582,60.79409,8.88265,0403105+085257,8.115,0.0423,3,1.84,0.051,3,0,0,0,0,60.79409,8.88265,HD25477,04004+0844,F04004+0844,,,HD 25477,K5III,6.254,1.474,6.26,1.44,04 03 10.5851,+08 52 57.520,Star,4,3,10.5851,8,52,57.52,60.79410458,8.882644444
0.435346,106.41273,9.1858,0705390+091108,8.579,0.0362,3,1.959,0.0288,3,0,0,0,0,106.41273,9.1858,HD53510,07029+0915,Z07029+0915,,HR 2663,HD 53510,M0III,6.074,1.505,6.22,1.56,07 05 39.0258,+09 11 08.881,Star,7,5,39.0258,9,11,8.881,106.4126075,9.185800278
0.122723,106.44689,31.39325,0705472+312335,8.863,0.028,3,2.044,0.0225,3,0,0,0,0,106.44689,31.39325,HD53287,07025+3128,F07025+3128,,,HD 53287,M0III,6.625,1.627,6.43,1.72,07 05 47.2485,+31 23 35.804,Star,7,5,47.2485,31,23,35.804,106.4468688,31.39327889
0.246670,100.12011,77.99573,0640288+775944,7.218,0.0149,3,1.682,0.0215,3,0,0,0,0,100.12011,77.99573,HD45866,06327+7802,F06327+7802,,HR 2363,HD 45866,K5III,5.322,1.327,5.45,1.34,06 40 28.8772,+77 59 44.817,Star,6,40,28.8772,77,59,44.817,100.1203217,77.9957825
0.848297,137.09746,66.87308,0908233+665223,14.46,0.0709,3,3.225,0.026,3,0,0,0,0,137.09746,66.87308,HD77800,09040+6704,F09040+6704,SIG 1 UMA,HR 3609,HD 77800,K5III,10.76,2.63,11.3,2.65,09 08 23.4990,+66 52 23.645,Star,9,8,23.499,66,52,23.645,137.0979125,66.87323472
0.452248,49.68255,34.22277,0318438+341321,15.21,0.114,3,3.389,0.03,3,0,0,0,0,49.68255,34.22277,HD20468,03155+3402,F03155+3402,,HR 991,HD 20468,K2IIb,11.0,2.655,10.7,2.65,03 18 43.8249,+34 13 21.549,Star,3,18,43.8249,34,13,21.549,49.68260375,34.2226525
1.371815,79.54421,33.37126,0518106+332216,16.04,0.586,3,3.342,0.033,3,0,0,0,0,79.54421,33.37126,HD34334,05149+3319,Z05149+3319,16 AUR,HR 1726,HD 34334,K2.5III,11.56,2.7,12.3,2.65,05 18 10.5690,+33 22 17.806,Spectroscopic binary,5,18,10.569,33,22,17.806,79.5440375,33.37161278
0.496425,25.0545,53.86815,0140130+535205,7.155,0.0315,3,1.652,0.0359,3,0,0,0,0,25.0545,53.86815,HD10110,01370+5336,Z01370+5336,,HR 470,HD 10110,K5III,5.198,1.365,5.13,1.43,01 40 13.1011,+53 52 05.800,Star,1,40,13.1011,53,52,5.8,25.05458792,53.86827778
