angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.056921,J004720.25+241601.1,11.8344142,+24.2669866,0.0207,0.0134,28.5,-0.685,-0.358,1.507,1.370,2.231,1.615,1.567,,,0.012,0.012,0.310,0.224,0.222,115124201351027497,HHHH,0,nnnn,UUAA,-289,24,326,25,1.637,1.109893,11.83443,24.26698,0047202+241601,16.36,0.483,3,3.526,0.0989,3,0,0,0,0,11.83443,24.26698,HD4502,00446+2359,F00446+2359,ZET AND,HR 215,HD 4502,K1IIe,12.36,2.847,12.9,2.92,00 47 20.3254,+24 16 01.841,Eclipsing binary of beta Lyr type,0,47,20.3254,24,16,1.841,11.83468917,24.26717806
0.247689,J013759.63+483740.5,24.4984890,+48.6279188,0.0216,0.0178,109.9,-1.662,-0.494,0.732,0.659,1.420,0.741,0.649,,,0.020,0.013,0.242,0.154,0.204,247148401351040628,hh00,0,nn11,UUAA,150,28,261,25,1.424,1.136347,24.49839,48.62794,0137596+483740,30.95,0.155,3,6.623,0.0379,3,0,0,0,0,24.49839,48.62794,HD9927,01349+4822,F01349+4822,51 AND,HR 464,HD 9927,K3-III,23.19,5.216,22.0,5.27,01 37 59.5561,+48 37 41.567,Star,1,37,59.5561,48,37,41.567,24.49815042,48.62821306
0.493696,J040310.60+085257.8,60.7941927,+8.8827423,0.0269,0.0174,123.6,1.243,0.675,2.212,2.040,3.404,2.571,2.260,,,0.012,0.015,0.222,0.192,0.286,612109001351011565,hh00,0,nn40,UUAA,1044,46,1307,43,0.646,0.055582,60.79409,8.88265,0403105+085257,8.115,0.0423,3,1.84,0.051,3,0,0,0,0,60.79409,8.88265,HD25477,04004+0844,F04004+0844,,,HD 25477,K5III,6.254,1.474,6.26,1.44,04 03 10.5851,+08 52 57.520,Star,4,3,10.5851,8,52,57.52,60.79410458,8.882644444
0.372338,J070539.04+091108.5,106.4126840,+9.1857071,0.0220,0.0192,146.5,0.306,0.569,2.088,2.021,3.135,2.330,2.109,,,0.016,0.021,0.250,0.236,0.248,1057109001351027018,hh00,0,nn30,UUAA,-552,43,-830,37,0.334,0.435346,106.41273,9.1858,0705390+091108,8.579,0.0362,3,1.959,0.0288,3,0,0,0,0,106.41273,9.1858,HD53510,07029+0915,Z07029+0915,,HR 2663,HD 53510,M0III,6.074,1.505,6.22,1.56,07 05 39.0258,+09 11 08.881,Star,7,5,39.0258,9,11,8.881,106.4126075,9.185800278
0.018207,J070547.25+312335.6,106.4468957,+31.3932487,0.0350,0.0232,106.1,0.227,0.505,2.077,1.936,3.306,2.408,2.198,,,0.021,0.022,0.234,0.198,0.226,1058131801351022473,hh00,0,nn00,UUAA,510,47,109,45,0.069,0.122723,106.44689,31.39325,0705472+312335,8.863,0.028,3,2.044,0.0225,3,0,0,0,0,106.44689,31.39325,HD53287,07025+3128,F07025+3128,,,HD 53287,M0III,6.625,1.627,6.43,1.72,07 05 47.2485,+31 23 35.804,Star,7,5,47.2485,31,23,35.804,106.4468688,31.39327889
0.424772,J064028.96+775944.6,100.1206768,+77.9957352,0.0380,0.0318,28.2,0.869,1.045,2.271,2.171,3.262,2.546,2.276,,,0.023,0.019,0.214,0.188,0.230,1008178701351005342,hh00,0,nn10,UUAA,614,39,-674,39,0.314,0.24667,100.12011,77.99573,0640288+775944,7.218,0.0149,3,1.682,0.0215,3,0,0,0,0,100.12011,77.99573,HD45866,06327+7802,F06327+7802,,HR 2363,HD 45866,K5III,5.322,1.327,5.45,1.34,06 40 28.8772,+77 59 44.817,Star,6,40,28.8772,77,59,44.817,100.1203217,77.9957825
0.784946,J090823.52+665222.9,137.0980053,+66.8730391,0.0377,0.0280,146.9,-1.024,-0.636,1.483,1.413,2.657,1.931,1.701,,,0.026,0.015,0.236,0.192,0.198,1373166601351044928,hh00,0,nn41,UUAA,1125,42,-702,39,0.680,0.848297,137.09746,66.87308,0908233+665223,14.46,0.0709,3,3.225,0.026,3,0,0,0,0,137.09746,66.87308,HD77800,09040+6704,F09040+6704,SIG 1 UMA,HR 3609,HD 77800,K5III,10.76,2.63,11.3,2.65,09 08 23.4990,+66 52 23.645,Star,9,8,23.499,66,52,23.645,137.0979125,66.87323472
0.488447,J031843.83+341321.5,49.6826308,+34.2226519,0.0512,0.0411,135.6,-0.993,-0.233,1.545,1.421,2.247,1.620,1.456,,,0.044,0.017,0.198,0.182,0.194,493134801351002264,HHHH,0,nnnn,UUAA,-224,54,205,49,0.147,0.452248,49.68255,34.22277,0318438+341321,15.21,0.114,3,3.389,0.03,3,0,0,0,0,49.68255,34.22277,HD20468,03155+3402,F03155+3402,,HR 991,HD 20468,K2IIb,11.0,2.655,10.7,2.65,03 18 43.8249,+34 13 21.549,Star,3,18,43.8249,34,13,21.549,49.68260375,34.2226525
0.179919,J051810.61+332216.3,79.5442133,+33.3712101,0.0316,0.0261,130.8,-1.215,-0.306,1.513,1.421,2.191,1.475,1.386,,,0.023,0.018,0.228,0.160,0.198,791133301351027444,hh00,0,nn00,UUAA,451,51,575,49,1.909,1.371815,79.54421,33.37126,0518106+332216,16.04,0.586,3,3.342,0.033,3,0,0,0,0,79.54421,33.37126,HD34334,05149+3319,Z05149+3319,16 AUR,HR 1726,HD 34334,K2.5III,11.56,2.7,12.3,2.65,05 18 10.5690,+33 22 17.806,Spectroscopic binary,5,18,10.569,33,22,17.806,79.5440375,33.37161278
0.694598,J014013.12+535205.9,25.0546782,+53.8683118,0.0256,0.0165,129.5,0.421,0.730,2.308,2.171,3.194,2.382,2.049,,,0.011,0.015,0.244,0.168,0.228,255154501351008103,HHH0,0,nnn0,UUAA,588,26,296,26,0.151,0.496425,25.0545,53.86815,0140130+535205,7.155,0.0315,3,1.652,0.0359,3,0,0,0,0,25.0545,53.86815,HD10110,01370+5336,Z01370+5336,,HR 470,HD 10110,K5III,5.198,1.365,5.13,1.43,01 40 13.1011,+53 52 05.800,Star,1,40,13.1011,53,52,5.8,25.05458792,53.86827778
