angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.190586,J001653.95+492743.0,4.2248279,+49.4619679,0.0136,0.0117,67.2,-0.348,0.228,1.615,1.481,2.989,2.047,1.789,,,0.009,0.015,0.256,0.176,0.226,46149901351008028,hh00,0,nn42,UUAA,42,24,250,24,0.215,HD1240,00142+4911,F00142+4911,,,HD 1240,M0III,9.54,2.481,9.88,2.48,00 16 53.9578,+49 27 42.894,Variable star,0,16,53.9578,49,27,42.894,4.224824167,49.461915
0.415908,J001645.65+101441.0,4.1902183,+10.2447289,0.0258,0.0174,68.6,-1.067,-0.247,1.181,1.094,2.677,1.789,1.414,,,0.022,0.010,0.236,0.168,0.196,46110601351014490,hh00,1,nn30,UUAA,-761,45,-1790,46,0.370,HD1255,00141+0957,F00141+0958,,,HD 1255,M0III,13.87,3.552,13.7,3.53,00 16 45.6779,+10 14 41.201,Variable star,0,16,45.6779,10,14,41.201,4.190324583,10.24477806
0.282579,J002045.49+325440.3,5.1895667,+32.9111982,0.0261,0.0177,31.4,0.062,0.177,1.757,1.617,2.809,1.932,1.779,,,0.015,0.017,0.254,0.198,0.200,53133301351015357,HHHH,0,nnnn,UUAA,-28,28,268,28,0.424,HD1632,00181+3238,F00181+3237,,HR 79,HD 1632,K5III,9.099,2.121,9.02,2.2,00 20 45.5182,+32 54 40.271,Star,0,20,45.5182,32,54,40.271,5.189659167,32.91118639
0.173989,J002035.85+081124.8,5.1494102,+8.1902248,0.0363,0.0217,164.9,0.437,0.794,2.334,2.191,3.424,2.757,2.430,,,0.016,0.019,0.306,0.228,0.308,45107501351048824,hh00,0,nn40,UUAA,-56,38,-1094,45,0.518,HD1635,00180+0754,F00180+0754,41 PSC,HR 80,HD 1635,K3-III,5.21,1.402,5.29,1.29,00 20 35.8616,+08 11 24.977,Variable star,0,20,35.8616,8,11,24.977,5.149423333,8.190271389
0.372797,J002812.71+162641.9,7.0529854,+16.4449751,0.0397,0.0210,171.1,0.296,0.929,2.280,2.064,3.472,2.661,2.402,,,0.022,0.017,0.240,0.188,0.262,62116601351022335,0h00,0,nn30,UUAA,60,46,-968,47,0.313,HD2436,00256+1610,F00256+1610,48 PSC,HR 106,HD 2436,K5III,5.896,1.382,5.58,1.43,00 28 12.7039,+16 26 42.236,Star,0,28,12.7039,16,26,42.236,7.052932917,16.44506556
0.025325,J002856.99+482449.3,7.2374828,+48.4137131,0.0124,0.0110,58.0,-1.186,-0.212,0.928,0.811,2.496,1.524,1.221,,,0.010,0.012,0.260,0.188,0.212,67148401351027708,hh00,0,nn20,UUAA,32,24,-156,24,0.266,HD2486,00262+4808,F00262+4808,,,HD 2486,M0III,17.11,4.706,17.1,4.72,00 28 56.9981,+48 24 49.355,Semi-regular pulsating star,0,28,56.9981,48,24,49.355,7.237492083,48.41370972
3.488070,J003002.49-020230.8,7.5104134,-2.0418983,0.3082,0.2841,146.1,16.682,16.308,12.363,9.044,,,,0.102,0.258,,,,,,75001601351005402,0000,0,0nnn,ABUU,-296,1209,1276,1235,,HD2637,00274-0414,F00274-0414,12 CET,HR 117,HD 2637,M0III,7.954,2.006,7.99,1.98,00 30 02.3579,-03 57 26.395,Star in double system,0,30,2.3579,-3,57,26.395,7.509824583,-2.042668056
0.680763,J003646.39+442919.3,9.1932946,+44.4887028,0.0118,0.0095,132.5,-1.328,-0.203,1.137,1.030,2.257,1.375,1.263,,,0.009,0.009,0.282,0.182,0.182,83143901351051966,HHHH,0,nnnn,UUAA,-175,25,524,26,0.714,HD3346,00340+4412,F00340+4412,,HR 152,HD 3346,K6III,15.86,3.718,15.7,3.73,00 36 46.4410,+44 29 18.913,Variable star,0,36,46.441,44,29,18.913,9.193504167,44.48858694
0.524976,J004030.49+563214.1,10.1270667,+56.5372604,0.0631,0.0540,115.5,-1.420,1.833,-0.213,-0.335,0.311,-0.210,-0.303,,,0.168,0.010,0.198,0.160,0.170,106156001351056864,hhh0,0,nn01,UUBA,-322,45,74,38,0.540,HD3712,00376+5615,Z00376+5615,ALP CAS,HR 168,HD 3712,K0-IIIa,60.29,14.23,64.6,13.6,00 40 30.4405,+56 32 14.392,Variable star,0,40,30.4405,56,32,14.392,10.12683542,56.53733111
1.135404,J004720.25+241601.1,11.8344142,+24.2669866,0.0207,0.0134,28.5,-0.685,-0.358,1.507,1.370,2.231,1.615,1.567,,,0.012,0.012,0.310,0.224,0.222,115124201351027497,HHHH,0,nnnn,UUAA,-289,24,326,25,1.637,HD4502,00446+2359,F00446+2359,ZET AND,HR 215,HD 4502,K1IIe,12.36,2.847,12.9,2.92,00 47 20.3254,+24 16 01.841,Eclipsing binary of beta Lyr type,0,47,20.3254,24,16,1.841,11.83468917,24.26717806
0.535979,J005500.14+585821.1,13.7505918,+58.9725522,0.0125,0.0082,22.0,-0.004,0.512,2.078,1.959,2.521,1.946,1.763,,,0.006,0.014,0.182,0.158,0.200,144159001351033520,hhp0,0,nn30,UUAA,185,23,83,23,0.432,HD5234,00520+5842,Z00520+5842,UPS 1 CAS,HR 253,HD 5234,K2III,6.461,1.545,6.88,1.57,00 55 00.1565,+58 58 21.712,Star in double system,0,55,0.1565,58,58,21.712,13.75065208,58.97269778
0.675185,J005644.55+262023.8,14.1856416,+26.3399486,0.0198,0.0138,90.5,-0.108,0.338,1.870,1.696,3.295,2.368,2.088,,,0.011,0.014,0.252,0.190,0.248,150125701351062374,HHHH,0,nnnn,UUAA,20,40,-115,40,0.793,HD5462,00540+2604,F00540+2604,,,HD 5462,M0III,8.196,2.127,8.26,2.15,00 56 44.5058,+26 20 24.005,Semi-regular pulsating star,0,56,44.5058,26,20,24.005,14.18544083,26.34000139
0.755141,J010845.64+861525.5,17.1902004,+86.2570837,0.0269,0.0176,59.1,-1.055,-0.391,1.554,1.451,2.355,1.887,1.656,,,0.020,0.018,0.316,0.200,0.238,199186301351032259,hh00,0,nn41,UUAA,-461,27,-250,31,0.704,HD5848,01015+8559,F01015+8559,SAO 181,HR 285,HD 5848,K2II-III,10.78,2.601,11.2,2.57,01 08 44.8773,+86 15 25.525,Star,1,8,44.8773,86,15,25.525,17.18698875,86.25709028
