Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
HD28,00027-0559,F00027-0559,33 PSC,HR 3,HD 28,K0III-IV,6.084,1.455,5.91,1.49,00 05 20.1409,-05 42 27.426,Variable of RS CVn type,0,5,20.1409,-5,42,27.426,1.333920417,-4.292381667
HD720,00090-2804,F00090-2804,KAP 2 SCL,HR 34,HD 720,K2III,5.256,1.223,5.14,1.26,00 11 34.4201,-27 47 59.052,Star in double system,0,11,34.4201,-27,47,59.052,2.893417083,-26.20026333
HD787,00096-1812,F00096-1812,,HR 37,HD 787,K5III,9.339,2.364,9.33,2.37,00 12 09.9860,-17 56 17.800,Star,0,12,9.986,-17,56,17.8,3.041608333,-16.06172222
HD1032,00114-8516,F00114-8516,SAO 258217,HR 47,HD 1032,M0.5III,13.26,3.474,13.6,3.47,00 13 19.6219,-84 59 38.322,Star,0,13,19.6219,-84,59,38.322,3.331757917,-83.00602167
HD1240,00142+4911,F00142+4911,,,HD 1240,M0III,9.54,2.481,9.88,2.48,00 16 53.9578,+49 27 42.894,Variable star,0,16,53.9578,49,27,42.894,4.224824167,49.461915
HD1255,00141+0957,F00141+0958,,,HD 1255,M0III,13.87,3.552,13.7,3.53,00 16 45.6779,+10 14 41.201,Variable star,0,16,45.6779,10,14,41.201,4.190324583,10.24477806
HD1522,00168-0906,F00168-0906,IOTA CET,HR 74,HD 1522,K1III,19.08,4.524,19,4.43,00 19 25.6745,-08 49 26.117,Variable star,0,19,25.6745,-8,49,26.117,4.856977083,-7.176078611
HD1632,00181+3238,F00181+3237,,HR 79,HD 1632,K5III,9.099,2.121,9.02,2.2,00 20 45.5182,+32 54 40.271,Star,0,20,45.5182,32,54,40.271,5.189659167,32.91118639
HD1635,00180+0754,F00180+0754,41 PSC,HR 80,HD 1635,K3-III,5.21,1.402,5.29,1.29,00 20 35.8616,+08 11 24.977,Variable star,0,20,35.8616,8,11,24.977,5.149423333,8.190271389
HD1879,00205-1612,F00205-1613,IRC-20008,,HD 1879,M0III,5.834,1.466,5.84,1.5,00 23 04.3980,-15 56 33.203,Star,0,23,4.398,-15,56,33.203,5.768325,-14.05744361
HD2261,00238-4234,F00238-4234,ALP PHE,HR 99,HD 2261,K0IIIb,55.63,13.07,54.9,13.7,00 26 17.0509,-42 18 21.533,Spectroscopic binary,0,26,17.0509,-42,18,21.533,6.571045417,-41.69401861
HD2436,00256+1610,F00256+1610,48 PSC,HR 106,HD 2436,K5III,5.896,1.382,5.58,1.43,00 28 12.7039,+16 26 42.236,Star,0,28,12.7039,16,26,42.236,7.052932917,16.44506556
HD2486,00262+4808,F00262+4808,,,HD 2486,M0III,17.11,4.706,17.1,4.72,00 28 56.9981,+48 24 49.355,Semi-regular pulsating star,0,28,56.9981,48,24,49.355,7.237492083,48.41370972
HD2637,00274-0414,F00274-0414,12 CET,HR 117,HD 2637,M0III,7.954,2.006,7.99,1.98,00 30 02.3579,-03 57 26.395,Star in double system,0,30,2.3579,-3,57,26.395,7.509824583,-2.042668056
HD3346,00340+4412,F00340+4412,,HR 152,HD 3346,K6III,15.86,3.718,15.7,3.73,00 36 46.4410,+44 29 18.913,Variable star,0,36,46.441,44,29,18.913,9.193504167,44.48858694
HD3712,00376+5615,Z00376+5615,ALP CAS,HR 168,HD 3712,K0-IIIa,60.29,14.23,64.6,13.6,00 40 30.4405,+56 32 14.392,Variable star,0,40,30.4405,56,32,14.392,10.12683542,56.53733111
HD4128,00410-1815,F00410-1815,BET CET,HR 188,HD 4128,K0III,62.16,13.29,59.9,13.6,00 43 35.3711,-17 59 11.777,Variable star,0,43,35.3711,-17,59,11.777,10.89737958,-16.01339528
HD4301,00428-0454,F00428-0454,,HR 201,HD 4301,M0III,7.008,1.84,7.03,1.84,00 45 24.1257,-04 37 44.976,Star,0,45,24.1257,-4,37,44.976,11.35052375,-3.37084
